"Name","MasterCap","Country","Industry","Sector"
"Curtis Banks Group plc","$231.8 M","United Kingdom","Asset Management","Financials"
"SDI Group plc","$230.6 M","United Kingdom","Scientific & Technical Instruments","Technology"
"Begbies Traynor Group plc","$230.4 M","United Kingdom","Specialty Business Services","Industrials"
"Aurora Investment Trust","$229.9 M","United Kingdom","Asset Management","Financials"
"Creo Medical Limited","$228.9 M","United Kingdom","Medical Devices","Healthcare"
"Aptitude Software Group plc","$228.8 M","United Kingdom","Software—Application","Technology"
"Aberdeen Standard Equity Income Trust plc","$228.7 M","United Kingdom","Asset Management","Financials"
"Invesco Perpetual UK Smaller Companies Investment Trust plc","$228.4 M","United Kingdom","Asset Management","Financials"
"Twentyfour Select Monthly Income Fund Limited","$225.7 M","United Kingdom","Asset Management","Financials"
"Ten Entertainment Group plc","$225.2 M","United Kingdom","Leisure","Consumer Discretionary"
"Blackrock Latin American Investment Trust plc","$224.6 M","United Kingdom","Asset Management","Financials"
"Pantheon International plc","$224.5 M","United Kingdom","Asset Management","Financials"
"Ediston Property Investment Company plc","$223.1 M","United Kingdom","REIT—Diversified","Real Estate"
"Bioventix plc","$222.6 M","United Kingdom","Biotechnology","Healthcare"
"Jersey Electricity plc","(March 13, 2021)","United Kingdom","Utilities—Regulated Electric","Utilities"
"Time Out Group plc","$220.5 M","United Kingdom","Entertainment","Communication Services"
"James Fisher and Sons plc","$220.3 M","United Kingdom","Specialty Business Services","Industrials"
"Zoetic International plc","(March 13, 2021)","United Kingdom","Drug Manufacturers—Specialty & Generic","Healthcare"
"Camellia plc","$217.4 M","United Kingdom","Farm Products","Consumer Staples"
"Blancco Technology Group plc","$217.4 M","United Kingdom","Software—Infrastructure","Technology"
"Instem plc","$216.7 M","United Kingdom","Health Information Services","Healthcare"
"Allergy Therapeutics plc","$216.3 M","United Kingdom","Drug Manufacturers—Specialty & Generic","Healthcare"
"Octopus AIM VCT PLC","$215.3 M","United Kingdom","Asset Management","Financials"
"Petropavlovsk plc","$212.6 M","United Kingdom","Gold","Basic Materials"
"Pensana plc","$212.0 M","United Kingdom","Other Industrial Metals & Mining","Basic Materials"
"First Trust Dynamic Europe Equity Income Fund","$211.0 M","United Kingdom","Asset Management","Financials"
"Invesco Income Growth Trust plc","(March 13, 2021)","United Kingdom","Asset Management","Financials"
"BMO Managed Portfolio Trust plc","$210.7 M","United Kingdom","Asset Management","Financials"
"Anexo Group plc","$206.3 M","United Kingdom","Rental & Leasing Services","Industrials"
"Tristel plc","$206.2 M","United Kingdom","Medical Instruments & Supplies","Healthcare"
"Inspired Plc","$206.0 M","United Kingdom","Specialty Business Services","Industrials"
"Trifast plc","$205.2 M","United Kingdom","Tools & Accessories","Industrials"
"Card Factory plc","$204.6 M","United Kingdom","Specialty Retail","Consumer Discretionary"
"Churchill China plc","$203.8 M","United Kingdom","Furnishings, Fixtures & Appliances","Consumer Discretionary"
"Jupiter US Smaller Companies plc","(March 13, 2021)","United Kingdom","Asset Management","Financials"
"Arix Bioscience plc","$203.6 M","United Kingdom","Biotechnology","Healthcare"
"Zotefoams plc","$202.0 M","United Kingdom","Specialty Chemicals","Basic Materials"
"Metro Bank plc","$200.7 M","United Kingdom","Banks","Financials"
"Nucleus Financial Group plc","(March 13, 2021)","United Kingdom","Asset Management","Financials"
"Fonix Mobile plc","$200.6 M","United Kingdom","Information Technology Services","Technology"
"Schroder European Real Estate Investment Trust plc","$200.5 M","United Kingdom","REIT—Diversified","Real Estate"
"AVI Japan Opportunity Trust plc","$199.7 M","United Kingdom","Asset Management","Financials"
"Springfield Properties plc","$199.7 M","United Kingdom","Residential Construction","Consumer Discretionary"
"Novacyt SA","$198.2 M","United Kingdom","Diagnostics & Research","Healthcare"
"Gabelli Value Plus+ Trust plc","(March 13, 2021)","United Kingdom","Asset Management","Financials"
"Avingtrans plc","$196.9 M","United Kingdom","Specialty Industrial Machinery","Industrials"
"Sigma Capital Group plc","(March 13, 2021)","United Kingdom","REIT—Residential","Real Estate"
"Middlefield Canadian Income PCC","$193.3 M","United Kingdom","Asset Management","Financials"
"Circassia Group plc","$192.8 M","United Kingdom","Biotechnology","Healthcare"
"Henderson Diversified Income Trust plc","$191.2 M","United Kingdom","Asset Management","Financials"
"Studio Retail Group plc","(Jan. 1, 2022)","United Kingdom","Specialty Retail","Consumer Discretionary"
"Foxtons Group plc","$190.6 M","United Kingdom","Real Estate Services","Real Estate"
"BlackRock Energy and Resources Income Trust plc","$190.3 M","United Kingdom","Asset Management","Financials"
"Venator Materials PLC","$190.2 M","United Kingdom","Specialty Chemicals","Basic Materials"
"Mercia Asset Management plc","$189.1 M","United Kingdom","Asset Management","Financials"
"Chenavari Toro Income Fund Ltd","$188.2 M","United Kingdom","Asset Management","Financials"
"Keystone Positive Change Investment Trust plc","$188.1 M","United Kingdom","Asset Management","Financials"
"STV Group plc","$188.0 M","United Kingdom","Broadcasting","Communication Services"
"BlackRock North American Income Trust plc","(March 13, 2021)","United Kingdom","Asset Management","Financials"
"ProVen VCT plc","(Jan. 1, 2022)","United Kingdom","Asset Management","Financials"
"Arbuthnot Banking Group plc","$186.9 M","United Kingdom","Banks","Financials"
"M&G Credit Income Investment Trust plc","$186.8 M","United Kingdom","Asset Management","Financials"
"Franchise Brands plc","$186.5 M","United Kingdom","Specialty Business Services","Industrials"
"Bango plc","$186.4 M","United Kingdom","Information Technology Services","Technology"
"Equals Group plc","$183.2 M","United Kingdom","Credit Services","Financials"
"Duke Royalty Limited","$182.4 M","United Kingdom","Asset Management","Financials"
"Aberforth Split Level Income Trust plc","$182.1 M","United Kingdom","Asset Management","Financials"
"N Brown Group plc","$180.7 M","United Kingdom","Internet Retail","Consumer Discretionary"
"Carr's Group plc","$180.0 M","United Kingdom","Farm Products","Consumer Staples"
"Countrywide plc","(March 13, 2021)","United Kingdom","Real Estate Services","Real Estate"
"Access Intelligence plc","$179.9 M","United Kingdom","Software—Application","Technology"
"Caledonia Mining Corporation plc","$179.0 M","United Kingdom","Gold","Basic Materials"
"H&T Group plc","$176.4 M","United Kingdom","Credit Services","Financials"
"Knights Group Holdings plc","$174.6 M","United Kingdom","Specialty Business Services","Industrials"
"Mind Gym plc","$174.3 M","United Kingdom","Specialty Business Services","Industrials"
"Aquis Exchange plc","$173.9 M","United Kingdom","Financial Data & Stock Exchanges","Financials"
"TMT Investments plc","$170.9 M","United Kingdom","Asset Management","Financials"
"Superdry plc","$170.6 M","United Kingdom","Apparel Manufacturing","Consumer Discretionary"
"Castings plc","$169.0 M","United Kingdom","Specialty Industrial Machinery","Industrials"
"Calnex Solutions plc","$169.0 M","United Kingdom","Communication Equipment","Technology"
"Aberdeen Income Credit Strategies Fund","$168.3 M","United Kingdom","Asset Management","Financials"
"Sureserve Group plc","$167.4 M","United Kingdom","Engineering & Construction","Industrials"
"Record plc","$166.8 M","United Kingdom","Asset Management","Financials"
"Trident Royalties plc","$166.8 M","United Kingdom","Other Industrial Metals & Mining","Basic Materials"
"Alterola Biotech, Inc.","$165.9 M","United Kingdom","Drug Manufacturers—Specialty & Generic","Healthcare"
"Anpario plc","$165.7 M","United Kingdom","Packaged Foods","Consumer Staples"
"Gresham Technologies plc","$165.4 M","United Kingdom","Software—Application","Technology"
"Shepherd Neame Ltd","$164.3 M","United Kingdom","Beverages—Brewers","Consumer Staples"
"Chariot Ltd.","$163.9 M","United Kingdom","Oil & Gas E&P","Energy"
"The Character Group plc","$163.7 M","United Kingdom","Leisure","Consumer Discretionary"
"Wynnstay Group plc","$160.1 M","United Kingdom","Agricultural Inputs","Basic Materials"
"e-therapeutics plc","$160.0 M","United Kingdom","Biotechnology","Healthcare"
"Pharos Energy plc","$159.9 M","United Kingdom","Oil & Gas E&P","Energy"
"Amino Technologies plc","(March 13, 2021)","United Kingdom","Communication Equipment","Technology"
"Epwin Group plc","$157.5 M","United Kingdom","Building Products & Equipment","Industrials"
"Palace Capital plc","$157.4 M","United Kingdom","Real Estate Services","Real Estate"
"RM plc","$156.6 M","United Kingdom","Software—Application","Technology"
"Global Value Fund Limited","$155.0 M","United Kingdom","Asset Management","Financials"
"James Cropper plc","$154.7 M","United Kingdom","Paper & Paper Products","Basic Materials"
"Artemis Alpha Trust plc","$153.1 M","United Kingdom","Asset Management","Financials"
"Foresight Enterprise VCT Plc","$153.0 M","United Kingdom","Asset Management","Financials"
"Dialight plc","$152.0 M","United Kingdom","Electrical Equipment & Parts","Industrials"
"RBG Holdings plc","$150.1 M","United Kingdom","Specialty Business Services","Industrials"
"UP Global Sourcing Holdings plc","$148.5 M","United Kingdom","Specialty Retail","Consumer Discretionary"
"Advanced Oncotherapy plc","$147.5 M","United Kingdom","Medical Devices","Healthcare"
"Octopus AIM VCT 2 plc","$146.9 M","United Kingdom","Asset Management","Financials"
"Helios Underwriting plc","$146.8 M","United Kingdom","Insurance—Property & Casualty","Financials"
"Aferian Plc","$146.8 M","United Kingdom","Broadcasting","Communication Services"
"Eagle Eye Solutions Group plc","$146.4 M","United Kingdom","Software—Application","Technology"
"Phoenix Global Resources plc","$146.2 M","United Kingdom","Oil & Gas E&P","Energy"
"NWF Group plc","$146.1 M","United Kingdom","Oil & Gas Refining & Marketing","Energy"
"AssetCo plc","$145.9 M","United Kingdom","Security & Protection Services","Industrials"
"Vaccitech plc","$145.5 M","United Kingdom","Biotechnology","Healthcare"
"Edtechx Holdings Acquisition Corp","$145.0 M","United Kingdom","Shell Companies","Financials"
"Eckoh plc","$144.6 M","United Kingdom","Information Technology Services","Technology"
"B.P. Marsh & Partners plc","$144.3 M","United Kingdom","Asset Management","Financials"
"The Property Franchise Group plc","$144.0 M","United Kingdom","Real Estate Services","Real Estate"
"ECO Animal Health Group plc","$143.8 M","United Kingdom","Drug Manufacturers—Specialty & Generic","Healthcare"
"HSS Hire Group plc","$143.7 M","United Kingdom","Rental & Leasing Services","Industrials"
"PowerHouse Energy Group plc","$143.5 M","United Kingdom","Utilities—Renewable","Utilities"
"Michelmersh Brick Holdings plc","$143.0 M","United Kingdom","Building Materials","Basic Materials"
"Sanderson Design Group plc","$142.4 M","United Kingdom","Furnishings, Fixtures & Appliances","Consumer Discretionary"
"Arecor Therapeutics plc","$142.4 M","United Kingdom","Biotechnology","Healthcare"
"Amedeo Air Four Plus Ltd","$141.7 M","United Kingdom","Aerospace & Defense","Industrials"
"Costain Group plc","$141.2 M","United Kingdom","Engineering & Construction","Industrials"
"Esken Limited","$140.8 M","United Kingdom","Conglomerates","Industrials"
"ZOO Digital Group plc","$140.6 M","United Kingdom","Software—Application","Technology"
"The Income & Growth VCT plc","$140.2 M","United Kingdom","Asset Management","Financials"
"Topps Tiles plc","$139.9 M","United Kingdom","Home Improvement Retail","Consumer Discretionary"
"Downing ONE VCT Plc","$139.8 M","United Kingdom","Asset Management","Financials"
"EP Global Opportunities Trust","$139.1 M","United Kingdom","Asset Management","Financials"
"Northern Venture Trust PLC","$138.9 M","United Kingdom","Asset Management","Financials"
"Kropz plc","$138.8 M","United Kingdom","Agricultural Inputs","Basic Materials"
"Surface Transforms plc","$137.7 M","United Kingdom","Auto Parts","Consumer Discretionary"
"Warrego Energy Limited","$137.6 M","United Kingdom","Oil & Gas E&P","Energy"
"Walker Greenbank PLC","$137.0 M","United Kingdom","Furnishings, Fixtures & Appliances","Consumer Discretionary"
"Manolete Partners plc","$136.7 M","United Kingdom","Consulting Services","Industrials"
"Inland Homes plc","$136.4 M","United Kingdom","Real Estate—Development","Real Estate"
"Northern 3 VCT PLC","$135.9 M","United Kingdom","Asset Management","Financials"
"Shanta Gold Limited","$135.5 M","United Kingdom","Gold","Basic Materials"
"Mpac Group plc","$135.3 M","United Kingdom","Specialty Industrial Machinery","Industrials"
"D4t4 Solutions plc","$135.1 M","United Kingdom","Software—Application","Technology"
"BMO UK High Income Trust Plc","$133.2 M","United Kingdom","Asset Management","Financials"
"Value and Indexed Property Income Trust plc","$132.1 M","United Kingdom","Asset Management","Financials"
"Solid State plc","$131.7 M","United Kingdom","Electronic Components","Technology"
"Personal Group Holdings plc","$131.5 M","United Kingdom","Insurance—Property & Casualty","Financials"
"Northern 2 VCT PLC","$131.0 M","United Kingdom","Asset Management","Financials"
"Crystal Amber Fund Ld","$129.9 M","United Kingdom","Asset Management","Financials"
"Capital & Regional plc","$128.1 M","United Kingdom","REIT—Retail","Real Estate"
"Kitwave Group plc","$127.6 M","United Kingdom","Food Distribution","Consumer Staples"
"Staffline Group plc","$127.3 M","United Kingdom","Staffing & Employment Services","Industrials"
"Bluejay Mining plc","$126.5 M","United Kingdom","Other Industrial Metals & Mining","Basic Materials"
"PetroNor E&P Ltd","(Jan. 1, 2022)","United Kingdom","Oil & Gas E&P","Energy"
"The Fulham Shore plc","$124.1 M","United Kingdom","Restaurants","Consumer Discretionary"
"Open Orphan plc","$123.9 M","United Kingdom","Biotechnology","Healthcare"
"Dianomi plc","$123.9 M","United Kingdom","Advertising Agencies","Communication Services"
"Albion Enterprise VCT Plc","$123.5 M","United Kingdom","Asset Management","Financials"
"New Star Investment Trust Plc","$123.4 M","United Kingdom","Asset Management","Financials"
"Logistics Development Group plc","(Jan. 1, 2022)","United Kingdom","Integrated Freight & Logistics","Industrials"
"Quixant plc","$123.0 M","United Kingdom","Computer Hardware","Technology"
"Belvoir Group plc","$122.9 M","United Kingdom","Real Estate Services","Real Estate"
"Albion Development VCT PLC","$122.7 M","United Kingdom","Asset Management","Financials"
"Doric Nimrod Air Three Ltd","$121.8 M","United Kingdom","Rental & Leasing Services","Industrials"
"Achilles Therapeutics plc","$121.7 M","United Kingdom","Biotechnology","Healthcare"
"Nexus Infrastructure plc","$121.7 M","United Kingdom","Engineering & Construction","Industrials"
"Beeks Trading Corporation Ltd.","$121.1 M","United Kingdom","Software—Infrastructure","Technology"
"Celtic plc","$118.6 M","United Kingdom","Leisure","Consumer Discretionary"
"Schroder BSC Social Impact Trust PLC","$118.5 M","United Kingdom","Asset Management","Financials"
"Warpaint London plc","$118.5 M","United Kingdom","Household & Personal Products","Consumer Staples"
"JPMorgan European Investment Trust plc","$118.3 M","United Kingdom","Asset Management","Financials"
"Dewhurst plc","$117.5 M","United Kingdom","Electrical Equipment & Parts","Industrials"
"The City Pub Group plc","$117.5 M","United Kingdom","Restaurants","Consumer Discretionary"
"Oncimmune Holdings plc","$116.8 M","United Kingdom","Biotechnology","Healthcare"
"The Conygar Investment Company plc","$115.8 M","United Kingdom","Real Estate—Diversified","Real Estate"
"Flowtech Fluidpower plc","$114.3 M","United Kingdom","Industrial Distribution","Industrials"
"Triple Point Energy Efficiency Infrastructure Company plc","$114.2 M","United Kingdom","Asset Management","Financials"
"Trans-Siberian Gold plc","(March 13, 2021)","United Kingdom","Gold","Basic Materials"
"Ferro-Alloy Resources Limited","$113.5 M","United Kingdom","Other Industrial Metals & Mining","Basic Materials"
"AfriTin Mining Limited","$113.5 M","United Kingdom","Other Industrial Metals & Mining","Basic Materials"
"Geiger Counter Ltd","$113.4 M","United Kingdom","Asset Management","Financials"
"Diaceutics plc","$113.0 M","United Kingdom","Biotechnology","Healthcare"
"Aberdeen Asia-Pacific Income Investment Company Limited","$112.6 M","United Kingdom","Asset Management","Financials"
"Finsbury Food Group plc","$112.3 M","United Kingdom","Packaged Foods","Consumer Staples"
"Mereo BioPharma Group plc","$112.1 M","United Kingdom","Biotechnology","Healthcare"
"Sourcebio International plc","$112.0 M","United Kingdom","Medical Care Facilities","Healthcare"
"KR1 Plc","$111.6 M","United Kingdom","Asset Management","Financials"
"Scancell Holdings plc","$110.9 M","United Kingdom","Biotechnology","Healthcare"
"Smiths News plc","$110.7 M","United Kingdom","Publishing","Communication Services"
"Gear4music (Holdings) plc","$109.9 M","United Kingdom","Internet Retail","Consumer Discretionary"
"ICG-Longbow Senior Secured UK Property Debt Investments","$109.6 M","United Kingdom","Asset Management","Financials"
"Gaming Realms plc","$109.3 M","United Kingdom","Gambling","Consumer Discretionary"
"Netcall plc","$108.7 M","United Kingdom","Software—Application","Technology"
"Invinity Energy Systems plc","$108.5 M","United Kingdom","Utilities—Diversified","Utilities"
"Portmeirion Group plc","$108.2 M","United Kingdom","Furnishings, Fixtures & Appliances","Consumer Discretionary"
"Distribution Finance Capital Holdings plc","$108.2 M","United Kingdom","Credit Services","Financials"
"Velocys plc","$107.6 M","United Kingdom","Oil & Gas Equipment & Services","Energy"
"4D pharma plc","$107.0 M","United Kingdom","Biotechnology","Healthcare"
"Kooth plc","$106.4 M","United Kingdom","Internet Content & Information","Communication Services"
"British Smaller Companies VCT 2 plc","$106.3 M","United Kingdom","Asset Management","Financials"
"Frenkel Topping Group plc","$105.7 M","United Kingdom","Asset Management","Financials"
"Argentex Group plc","$105.7 M","United Kingdom","Capital Markets","Financials"
"Town Centre Securities plc","$105.2 M","United Kingdom","REIT—Diversified","Real Estate"
"KKV Secured Loan Fund Limited","(Jan. 1, 2022)","United Kingdom","Asset Management","Financials"
"Cake Box Holdings plc","$104.9 M","United Kingdom","Grocery Stores","Consumer Staples"
"Meridian Mining S.E.","$104.4 M","United Kingdom","Other Industrial Metals & Mining","Basic Materials"
"Air Partner plc","$104.2 M","United Kingdom","Airports & Air Services","Industrials"
"Eleco plc","$104.2 M","United Kingdom","Software—Application","Technology"
"Maven Income and Growth VCT 4 PLC","$103.8 M","United Kingdom","Asset Management","Financials"
"EPE Special Opportunities Limited","$103.7 M","United Kingdom","Asset Management","Financials"
"Rainbow Rare Earths Limited","$102.0 M","United Kingdom","Other Industrial Metals & Mining","Basic Materials"
"Gem Diamonds Limited","$101.8 M","United Kingdom","Other Precious Metals & Mining","Basic Materials"
"IQGeo Group plc","$101.4 M","United Kingdom","Software—Application","Technology"
"Zephyr Energy plc","$101.3 M","United Kingdom","Oil & Gas E&P","Energy"
"ScS Group plc","$101.3 M","United Kingdom","Specialty Retail","Consumer Discretionary"
"Caspian Sunrise plc","$101.0 M","United Kingdom","Oil & Gas E&P","Energy"
"Science in Sport plc","$100.8 M","United Kingdom","Packaged Foods","Consumer Staples"
"Enwell Energy plc","$99.8 M","United Kingdom","Oil & Gas E&P","Energy"
"Accrol Group Holdings plc","$98.6 M","United Kingdom","Household & Personal Products","Consumer Staples"
"CEIBA Investments Ltd","$98.5 M","United Kingdom","Asset Management","Financials"
"The Alumasc Group plc","$98.3 M","United Kingdom","Building Products & Equipment","Industrials"
"Woodbois Limited","$98.2 M","United Kingdom","Lumber & Wood Production","Basic Materials"
"Savannah Resources plc","$97.4 M","United Kingdom","Other Industrial Metals & Mining","Basic Materials"
"Virgin Wines UK PLC","$97.4 M","United Kingdom","Beverages—Wineries & Distilleries","Consumer Staples"
"Xpediator plc","$95.7 M","United Kingdom","Integrated Freight & Logistics","Industrials"
"Inspiration Healthcare Group plc","$95.4 M","United Kingdom","Medical Devices","Healthcare"
"Aquila Energy Efficiency Trust Plc","$95.3 M","United Kingdom","Asset Management","Financials"
"Purplebricks Group plc","$95.2 M","United Kingdom","Real Estate Services","Real Estate"
"McBride plc","$94.8 M","United Kingdom","Household & Personal Products","Consumer Staples"
"Trinity Exploration & Production plc","$93.2 M","United Kingdom","Oil & Gas E&P","Energy"
"Braemar Shipping Services plc","$93.2 M","United Kingdom","Marine Shipping","Industrials"
"Arena Events Group plc","(Jan. 1, 2022)","United Kingdom","Advertising Agencies","Communication Services"
"Geodrill Limited","$92.3 M","United Kingdom","Other Industrial Metals & Mining","Basic Materials"
"OnTheMarket plc","$91.8 M","United Kingdom","Internet Content & Information","Communication Services"
"Shoe Zone plc","$91.6 M","United Kingdom","Footwear & Accessories","Consumer Discretionary"
"Real Estate Investors plc","$91.5 M","United Kingdom","REIT—Diversified","Real Estate"
"Futura Medical plc","$91.5 M","United Kingdom","Biotechnology","Healthcare"
"Bespoke Capital Acquisition Corp.","(April 5, 2021)","United Kingdom","Shell Companies","Financials"
"IG Design Group plc","$90.6 M","United Kingdom","Specialty Retail","Consumer Discretionary"
