,name,website,locations,size,industry,founded
0,Proteus Digital Health Careers,www.proteus.com,"Redwood City, CA",201 to 500 employees,Pharmaceuticals,2004
1,Zelis Careers,www.zelis.com,"Bedminster, NJ","1,001 to 5,000 employees",Information Technology & Services,2016
2,UpNest Careers,www.upnest.com,"Burlingame, CA",1 to 50 employees,Real Estate,2013
3,conferacity Careers,conferacity.com,"Menlo Park, CA",1 to 50 employees,Broadcast & Online Media,2013
4,Zenoti Careers,www.zenoti.com,"Bellevue, WA","501 to 1,000 employees",Computer Software,2010
5,LeaseLock Careers,leaselock.com,"Marina del Rey, CA",51 to 200 employees,Insurance,2016
6,Kespry Careers,www.kespry.com,"Menlo Park, CA",51 to 200 employees,Computer Software,2013
7,NewsCred Careers,www.newscred.com,"New York, NY",201 to 500 employees,Marketing & Advertising,2008
8,Brane Enterprises Careers,nslhub.com,"Hyderabad, India",201 to 500 employees,Information Technology & Services,2017
9,Markel Careers,www.markel.com,"Glen Allen, VA","1,001 to 5,000 employees",Insurance,1930
10,ESO Fund Careers,www.esofund.com,"San Mateo, CA",1 to 50 employees,Venture Capital & Private Equity,2012
11,Indigo Ag Careers,www.indigoag.com,"Boston, MA","501 to 1,000 employees",Food & Beverages,2013
12,"MSIG Holdings (Americas), Inc. Careers",www.msigusa.com,"Warren, NJ",201 to 500 employees,Insurance,1988
13,MindGeek Careers,mindgeek.com,"Luxembourg City, Luxembourg","1,001 to 5,000 employees",Internet,2004
14,ForeScout Technologies Careers,www.crunchbase.com/#/entity,"San Jose, CA","1,001 to 5,000 employees",Computer & Network Security,2000
15,Marketplace Careers,www.marketplace.org,"Los Angeles, CA",51 to 200 employees,Broadcast & Online Media,1989
16,SanDisk Careers,www.sandisk.com,"Milpitas, CA","5,001 to 10,000 employees",Semiconductors,1988
17,Wag Careers,www.wagwalking.com,"Mountain View, CA",51 to 200 employees,Consumer Goods,2014
18,Maisonette Careers,www.maisonette.com,"Brooklyn, NY",51 to 200 employees,"Apparel, Fashion & Luxury",2017
19,Fox Thermal Careers,www.foxthermal.com,"Marina, CA",1 to 50 employees,Industrial Automation,1994
20,Optimity Advisors Careers,www.optimityadvisors.com,"Washington, DC",201 to 500 employees,Management Consulting,2009
21,potenit Careers,potenit.com,"San Jose, CA",1 to 50 employees,Information Technology & Services,2010
22,Plexus Careers,www.plexus.com,"Neenah, WI","10,000+ employees",Computer Hardware,1979
23,CureMatch Careers,www.curematch.com,"San Diego, CA",1 to 50 employees,Biotechnology,2015
24,intertrend communications Careers,www.intertrend.com,"Long Beach, CA",51 to 200 employees,Marketing & Advertising,1991
25,Emotive Careers,emotive.io,"Los Angeles, CA",51 to 200 employees,Computer Software,2018
26,JOOR Careers,www.joor.com,"New York, NY",51 to 200 employees,Internet,2010
27,BLEND360 Careers,www.blend360.com,"Columbia, MD",201 to 500 employees,Marketing & Advertising,2016
28,AT&T Careers,www.att.com,"Dallas, TX","10,000+ employees",Telecommunications,1983
29,NVISIA Careers,www.nvisia.com,"Chicago, IL",51 to 200 employees,Computer Software,1993
30,mastery Careers,mastery.net,"Chicago, IL",51 to 200 employees,Computer Software,2019
31,Levi Strauss & Co. Careers,www.levi.com,"San Francisco, CA","10,000+ employees","Apparel, Fashion & Luxury",1853
32,X-Team Careers,x-team.com,"Austin, TX",201 to 500 employees,Internet,2004
33,RSE Careers,www.rs-e.com,"Sacramento, CA",51 to 200 employees,Marketing & Advertising,1960
34,Holland & Knight Careers,www.hklaw.com,"Miami, FL","1,001 to 5,000 employees",Legal Services,1968
35,Mystery Science Careers,www.mystery.org,"San Francisco, CA",1 to 50 employees,E-learning,2011
36,Rxadvance Corp Careers,www.rxadvance.com,"Southborough, MA",51 to 200 employees,Information Technology & Services,2013
37,ArcelorMittal Careers,corporate.arcelormittal.com,"Luxembourg, Luxembourg","10,000+ employees",Materials & Manufacturing,2006
38,Webflow Careers,www.webflow.com,"San Francisco, CA",51 to 200 employees,Computer Software,2012
39,NAPCO Careers,napcosecurity.com,"Amityville, NY","501 to 1,000 employees",Electrical & Electronic Manufacturing,1969
40,TreeHouse Foods Careers,www.treehousefoods.com,"Oak Brook, IL","10,000+ employees",Food & Beverages,2005
41,Amadeus Careers,www.amadeus.com,"Madrid, Spain","10,000+ employees",Information Technology & Services,1987
42,Critical Start Careers,www.criticalstart.com,"Plano, TX",201 to 500 employees,Information Technology & Services,2012
43,Korn Ferry Careers,www.kornferry.com,"Los Angeles, CA","5,001 to 10,000 employees",Management Consulting,1969
44,L&T Technology Services Careers,www.ltts.com,"Vadodara, India","10,000+ employees",Information Technology & Services,2009
45,mParticle Careers,www.mparticle.com,"New York, NY",51 to 200 employees,Internet,2012
46,BrightEdge Careers,www.brightedge.com,"Foster City, CA",201 to 500 employees,Computer Software,2007
47,JS Products Careers,www.jsproducts.com,"Las Vegas, NV",51 to 200 employees,Wholesale,1986
48,WorkFusion Careers,www.workfusion.com,"New York, NY",201 to 500 employees,Computer Software,2010
49,Marathon Petroleum Careers,www.marathonpetroleum.com,"Findlay, OH","10,000+ employees",Oil & Energy,1887
50,Pearson Careers,www.pearson.com,"London, United Kingdom","10,000+ employees",Broadcast & Online Media,1844
51,International Paper Careers,www.internationalpaper.com,"Memphis, TN","10,000+ employees",Materials & Manufacturing,1898
52,IntelliScience Careers,www.intelliscience.com,"Boise, ID",1 to 50 employees,Computer Software,2006
53,Klaviyo Careers,www.klaviyo.com,"Boston, MA",201 to 500 employees,Internet,2012
54,Narwal Careers,www.narwalinc.com,"Cincinnati, OH",51 to 200 employees,Information Technology & Services,2017
55,Expanded Impact Careers,www.expandedimpact.com,"San Francisco, CA",1 to 50 employees,Human Resources,2019
56,Carta Careers,www.carta.com,"Palo Alto, CA","501 to 1,000 employees",Computer Software,2012
57,Embark Trucks Careers,embarktrucks.com,"San Francisco, CA",51 to 200 employees,"Transportation, Trucking & Rail",2016
58,Spreedly Careers,spreedly.com,"Durham, NC",51 to 200 employees,Information Technology & Services,2008
59,Key Lime Interactive Careers,www.keylimeinteractive.com,"Doral, FL",1 to 50 employees,Information Technology & Services,2009
60,Sonos Careers,www.sonos.com,"Santa Barbara, CA","1,001 to 5,000 employees",Computer Hardware,2002
61,Aflac Careers,www.aflac.com,"Columbus, GA","10,000+ employees",Insurance,1955
62,Transfix Careers,transfix.io,"New York, NY",51 to 200 employees,Logistics & Supply Chain,2013
63,Clarity Insights Careers,www.accenture.com,"Chicago, IL",201 to 500 employees,Information Technology & Services,2008
64,Ahmadiyya Muslim Community Careers,ahmadiyya.ca,"Vaughan, Ontario","10,000+ employees",Religious Institutions,1908
65,Holman Parts Distribution Careers,holmanparts.com,"Pennsauken, NJ","501 to 1,000 employees",Automotive,1946
66,Ball Corporation Careers,www.ball.com,"Broomfield, CO","10,000+ employees",Materials & Manufacturing,1880
67,Alliance Inspection Management Careers,homepage.aiminspections.com,"Long Beach, CA","1,001 to 5,000 employees",Automotive,2005
68,Medix Careers,www.medixteam.com,"Chicago, IL",201 to 500 employees,Staffing & Recruiting,2001
69,Xilinx Careers,www.xilinx.com,"San Jose, CA","1,001 to 5,000 employees",Semiconductors,1984
70,Fiserv Careers,www.fiserv.com,"Brookfield, WI","10,000+ employees",Information Technology & Services,1984
71,RWDI Careers,www.rwdi.com,"Guelph, Ontario",201 to 500 employees,Civil Engineering,1972
72,Instabase Careers,www.instabase.com,"San Francisco, CA",1 to 50 employees,Computer Software,2015
73,Joveo Careers,www.joveo.com,"Redwood City, CA",51 to 200 employees,Computer Software,2017
74,Workday Careers,www.workday.com,"Pleasanton, CA","10,000+ employees",Computer Software,2005
75,NS1 Careers,ns1.com,"New York, NY",51 to 200 employees,Internet,2013
76,Helpshift Careers,www.helpshift.com,"San Francisco, CA",51 to 200 employees,Internet,2011
77,syntax Careers,www.syntax.com,"Montreal, QC","1,001 to 5,000 employees",Information Technology & Services,1972
78,TPG Careers,www.tpg.com,"San Francisco, CA","501 to 1,000 employees",Investment Management,1992
79,AXA Equitable Life Careers,axa-equitable.com,"New York, NY","10,000+ employees",Insurance,1859
80,Heali Careers,heali.ai,"Santa Monica, CA",1 to 50 employees,"Health, Wellness & Fitness",2018
81,Total Wine & More Careers,www.totalwine.com,"Bethesda, MD","5,001 to 10,000 employees",Retail,1991
82,Hylink Digital Solutions Careers,www.hylinkgroup.com,"Beijing, China","1,001 to 5,000 employees",Marketing & Advertising,1994
83,Advyzon Careers,www.advyzon.com,"Chicago, IL",1 to 50 employees,Financial Services,2012
84,Workfront Careers,www.workfront.com,"Lehi, UT","1,001 to 5,000 employees",Computer Software,2001
85,WineDirect Careers,www.winedirect.com,"American Canyon, CA",51 to 200 employees,Food & Beverages,2002
86,ThousandEyes Careers,www.thousandeyes.com,"San Jose, CA",201 to 500 employees,Internet,2010
87,Vectra AI Careers,www.crunchbase.com,"San Jose, CA",201 to 500 employees,Computer & Network Security,2010
88,Kingland Systems Careers,www.kingland.com,"Clear Lake, IA",51 to 200 employees,Information Technology & Services,1992
89,WideOrbit Careers,www.wideorbit.com,"San Francisco, CA","501 to 1,000 employees",Computer Software,1999
90,Sila Careers,www.sila.com,"King Of Prussia, PA","501 to 1,000 employees",Financial Services,1989
91,Schaeffler Careers,www.schaeffler.com,"Herzogenaurach, Germany","10,000+ employees",Mechanical & Industrial Engineering,1946
92,Securonix Careers,www.securonix.com,"Addison, TX",201 to 500 employees,Information Technology & Services,2007
93,Natixis Careers,www.natixis.com,"Paris, France","10,000+ employees",Financial Services,2006
94,Freudenberg Group Careers,www.freudenberg.com,"Weinheim, Germany","10,000+ employees",Automotive,1849
95,Much Careers,www.muchlaw.com,"Chicago, IL",51 to 200 employees,Legal Services,1970
96,OPS Careers,www.opstrax.com,"Grand Prairie, TX",51 to 200 employees,Logistics & Supply Chain,1996
97,Voicy.AI Careers,www.voicy.ai,"San Francisco, CA",1 to 50 employees,Computer Software,2015
98,128 Technology Careers,www.128technology.com,"Burlington, MA",51 to 200 employees,Information Technology & Services,2014
99,Vacasa Careers,www.vacasa.com,"Portland, OR","1,001 to 5,000 employees","Leisure, Travel & Tourism",2009
100,Quip Careers,quip.com,"San Francisco, CA",51 to 200 employees,Computer Software,2012
101,SolarCity Careers,www.solarcity.com,"San Mateo, CA","10,000+ employees",Environmental Services,2006
102,Tech Mahindra Careers,www.techmahindra.com,"Pune, India","10,000+ employees",Information Technology & Services,1986
103,Airlines Reporting Corp. Careers,www.arccorp.com,"Arlington, VA",201 to 500 employees,Information Technology & Services,1984
104,The Organic Recruiter Careers,www.theorganicrecruiter.com,"Los Angeles, CA",1 to 50 employees,Staffing & Recruiting,2016
105,Tomorrowish Careers,www.tomorrowish.com,"Boston, NY",1 to 50 employees,Internet,None
106,Upgrade Careers,upgrade.com,"San Francisco, CA",201 to 500 employees,Financial Services,2016
107,SAC Wireless Careers,www.sacw.com,"Chicago, IL","1,001 to 5,000 employees",Telecommunications,1996
108,Tucows Careers,www.tucows.com,"Toronto, Canada","501 to 1,000 employees",Information Technology & Services,1993
109,Sixth Man Careers,www.sixthman.net,"Atlanta, GA",1 to 50 employees,Computer Software,2001
110,Hawthorn Careers,www.pnc.com,"Pittsburgh, PA","10,000+ employees",Financial Services,1845
111,OpenGov Inc. Careers,opengov.com,"Redwood City, CA",51 to 200 employees,Internet,2012
112,ITC Limited Careers,www.itcportal.com,"Kolkata, India","10,000+ employees",Consumer Goods,1910
113,SmartStudy Careers,www.smartstudy.co.kr,"Seoul, South Korea",201 to 500 employees,Entertainment,2010
114,Masterclass Careers,www.masterclass.com,"San Francisco, CA",201 to 500 employees,E-learning,2012
115,ACS Solutions Careers,www.acsicorp.com,"Duluth, GA","10,000+ employees",Information Technology & Services,1998
116,zuumers Careers,www.zuumers.com,"San Francisco, CA",1 to 50 employees,Consumer Electronics,2017
117,DocuSign Careers,www.docusign.com,"Seattle, WA","1,001 to 5,000 employees",Computer Software,2003
118,King Street Capital Management Careers,www.kingstreet.com,"New York, NY",201 to 500 employees,Investment Management,1995
119,Inknown Careers,www.inknown.com,"San Jose, CA",1 to 50 employees,Internet,2018
120,Blackhawk Network Careers,www.blackhawknetwork.com,"Pleasanton, CA","1,001 to 5,000 employees",Financial Services,2001
121,Northrop Grumman Federal Credit Union Careers,www.ngfcu.us,"Gardena, CA",51 to 200 employees,Banking,1946
122,Syapse Careers,www.syapse.com,"San Francisco, CA",51 to 200 employees,Information Technology & Services,2008
123,Bigbelly Careers,www.bigbelly.com,"Needham, MA",51 to 200 employees,Environmental Services,2003
124,Track Revenue Careers,www.trackrevenue.com,"San Francisco, CA",1 to 50 employees,Information Technology & Services,2015
125,Bloomberg Industry Group Careers,www.bloombergindustry.com,"Arlington, VA","1,001 to 5,000 employees",Information Services,1929
126,Neato Robotics Careers,neatorobotics.com,"San Jose, CA",51 to 200 employees,Consumer Electronics,2005
127,Bold Commerce Careers,boldcommerce.com,"Winnipeg, Canada",201 to 500 employees,Information Technology & Services,2012
128,Keysight Technologies Careers,www.keysight.com,"Santa Rosa, CA","10,000+ employees",Computer Hardware,2014
129,Viziworx Creative Careers,www.viziworx.com,"Virginia Beach, VA",1 to 50 employees,Marketing & Advertising,2007
130,Credibility Capital Careers,www.credibilitycapital.com,"Newark, NJ",1 to 50 employees,Financial Services,2013
131,Melio Careers,www.meliopayments.com,"New York, NY",51 to 200 employees,Financial Services,2018
132,NRC Health Careers,www.nrchealth.com,"Lincoln, NE",201 to 500 employees,Hospital & Health Care,1981
133,Qontigo Careers,www.qontigo.com,"Eschborn, Germany","501 to 1,000 employees",Financial Services,1997
134,CipherHealth Careers,cipherhealth.com,"New York, NY",51 to 200 employees,Hospital & Health Care,2009
135,Oriental Trading Company Careers,www.orientaltrading.com,"Omaha, NE","1,001 to 5,000 employees",Retail,1932
136,HHAeXchange Careers,www.hhaexchange.com,"New York, NY",201 to 500 employees,Computer Software,2008
137,Postscript Careers,postscript.io,"San Francisco, CA",51 to 200 employees,Internet,2018
138,Leap Careers,leapcommerce.com,"ingapore, Singapore",51 to 200 employees,Internet,2021
139,McAfee Careers,www.mcafee.com,"Santa Clara, CA","5,001 to 10,000 employees",Computer & Network Security,1987
140,Mouser Electronics Careers,www.mouser.com,"Mansfield, TX","1,001 to 5,000 employees",Electrical & Electronic Manufacturing,1964
141,Logic20/20 Careers,www.logic2020.com,"Seattle, WA",201 to 500 employees,Management Consulting,2005
142,LP3 Careers,www.lp3.com,"Fairfax, VA",51 to 200 employees,Computer & Network Security,2004
143,Elementum Careers,www.elementum.com,"San Mateo, CA",201 to 500 employees,Computer Software,2013
144,Ant Financial Careers,www.antfinancialservices.com.au,"Hangzhou, China",1 to 50 employees,Internet,2014
145,FPT Software Careers,www.fpt-software.com,"Hanoi, Vietnam","10,000+ employees",Information Technology & Services,1999
146,mediaset Careers,www.mediaset.it,"Milan, Italy",201 to 500 employees,Broadcast & Online Media,1993
147,Lithium Technologies Careers,www.lithium.com,"San Francisco, CA",201 to 500 employees,Computer Software,2001
148,Healthgrades Careers,www.healthgrades.com,"Denver, CO","501 to 1,000 employees",Hospital & Health Care,1998
149,Kinesso Careers,www.kinesso.com,"New York, NY","1,001 to 5,000 employees",Marketing & Advertising,2009
150,Prolific Interactive Careers,www.prolificinteractive.com,"Brooklyn, NY",51 to 200 employees,Marketing & Advertising,2009
151,"Edison Energy, LLC Careers",www.edisonenergy.com,"Newport Beach, CA",51 to 200 employees,Environmental Services,2013
152,Kirkland & Ellis LLP Careers,www.kirkland.com,"Chicago, IL","1,001 to 5,000 employees",Legal Services,1909
153,Serverless Inc. Careers,www.serverless.com,"San Francisco, CA",1 to 50 employees,Computer Software,2016
154,Wise Ltd. Careers,wise.com,"London, United Kingdom","1,001 to 5,000 employees",Financial Services,2011
155,Sun Life Financial Careers,www.sunlife.com,"Toronto, Canada","10,000+ employees",Financial Services,1865
156,Fundbox Careers,fundbox.com,"San Francisco, CA",51 to 200 employees,Information Technology & Services,2013
157,Greenhill & Co. Careers,www.greenhill.com,"New York, NY",201 to 500 employees,Investment Banking,1999
158,SoftFinity Careers,www.softfinity.com,"San Francisco, CA",1 to 50 employees,Computer Software,1999
159,Voyager Careers,www.investvoyager.com,"Jersey City, NJ",1 to 50 employees,Financial Services,2017
160,DNSFilter Careers,www.dnsfilter.com,"Washington, DC",1 to 50 employees,Internet,2015
161,LeetCode Careers,www.leetcode.com,"Palo Alto, CA",1 to 50 employees,Information Technology & Services,2015
162,R1 RCM Careers,www.r1rcm.com,"Chicago, IL","10,000+ employees",Hospital & Health Care,2003
163,NEX Careers,www.nex.com,"London, United Kingdom","1,001 to 5,000 employees",Financial Services,2016
164,ICBC Careers,www.icbc.com,"Vancouver, BC","1,001 to 5,000 employees",Financial Services,1973
165,Foot Locker Careers,www.footlocker.com,"New York, NY","10,000+ employees",Retail,1974
166,class central Careers,www.classcentral.com,"Mountain View, CA",1 to 50 employees,E-learning,2011
167,Paddy Power Betfair Careers,www.paddypowerbetfair.jobs,"Dublin, Ireland","5,001 to 10,000 employees",Entertainment,2016
168,Coty Careers,www.coty.com,"Amsterdam, Netherlands","10,000+ employees",Cosmetics,1904
169,Dtex Systems Careers,www.dtexsystems.com,"San Jose, CA",51 to 200 employees,Computer Software,2002
170,HARVEST POINT MINISTRIES Careers,harvestpointministries.org,"La Porte, TX",1 to 50 employees,Religious Institutions,2008
171,WEX Careers,www.wexinc.com,"Portland, ME","1,001 to 5,000 employees",Financial Services,1983
172,CNA Insurance Careers,www.cna.com,"Chicago, IL","5,001 to 10,000 employees",Insurance,1897
173,BlinkUX Careers,blinkux.com,"Seattle, WA",51 to 200 employees,Design,2000
174,Alloy Careers,alloy.co,"New York, NY",1 to 50 employees,Computer Software,2015
175,Podium Careers,www.podium.com,"Lehi, UT","501 to 1,000 employees",Computer Software,2014
176,FormFactor Careers,www.formfactor.com,"Livermore, CA","1,001 to 5,000 employees",Semiconductors,1993
177,ADVA Careers,www.adva.com,"Norcross, GA","1,001 to 5,000 employees",Telecommunications,1994
178,Cornerstone Careers,www.cornerstoneondemand.com,"Santa Monica, CA","1,001 to 5,000 employees",Computer Software,1999
179,ASAPP Careers,www.asapp.com,"New York, NY",201 to 500 employees,Computer Software,2014
180,Pike13 Careers,www.pike13.com,"Seattle, WA",1 to 50 employees,Computer Software,2011
181,ServiceMaster Careers,www.servicemaster.com,"Memphis, TN","10,000+ employees",Consumer Services,1929
182,Kyruus Careers,www.kyruus.com,"Boston, MA",201 to 500 employees,Hospital & Health Care,2010
183,Logitech Careers,www.logitech.com,"Lausanne, Switzerland","1,001 to 5,000 employees",Computer Hardware,1981
184,Ring Careers,www.ring.com,"Santa Monica, CA","1,001 to 5,000 employees",Telecommunications,2013
185,Transamerica Careers,www.transamerica.com,"Baltimore, MD","5,001 to 10,000 employees",Financial Services,1904
186,plantx Careers,www.plantx.com,"Vancouver, BC",1 to 50 employees,Internet,2019
187,National Instruments Careers,www.ni.com,"Austin, TX","5,001 to 10,000 employees",Computer Hardware,1976
188,Integrated Device Technology Careers,www.idt.com,"San Jose, CA","1,001 to 5,000 employees",Semiconductors,1980
189,FAR Careers,www.farsecurity.com,"New York, NY",1 to 50 employees,Computer & Network Security,2017
190,BitTiger Careers,bittiger.io,"Santa Clara, CA",1 to 50 employees,E-learning,2015
191,Philips International Careers,www.pihc.com,"New York, NY",201 to 500 employees,Real Estate,1979
192,Landis+Gyr Careers,www.landisgyr.com,"Zug, Switzerland","5,001 to 10,000 employees",Computer Networking,1896
193,Area51 Careers,www.area51cloud.co,"San Francisco, CA",1 to 50 employees,Information Technology & Services,2019
194,Reliance Industries Careers,www.ril.com,"Navi Mumbai, India","10,000+ employees",Oil & Energy,1973
195,Ten-X Careers,www.ten-x.com,"Irvine, CA","501 to 1,000 employees",Financial Services,2009
196,Calico Careers,www.calicolabs.com,"San Francisco, CA",1 to 50 employees,Hospital & Health Care,2013
197,RoundPoint Careers,www.roundpointmortgage.com,"Fort Mill, SC","501 to 1,000 employees",Financial Services,2007
198,New Coast Ventures Careers,www.newcoastventures.com,"Chicago, IL",1 to 50 employees,Computer Software,2014
199,Gento Careers,www.gento.io,"Los Angeles, CA",1 to 50 employees,Hospital & Health Care,2016
200,AVL Careers,www.avl.com,"Graz, Austria","5,001 to 10,000 employees",Automotive,1948
201,Nuance Communications Careers,www.nuance.com,"Burlington, MA","10,000+ employees",Computer Software,1992
202,nususc Careers,www.nususc.com,"Singapore, Singapore","501 to 1,000 employees",Education Management,2001
203,August Home Careers,www.august.com,"San Francisco, CA",51 to 200 employees,Consumer Electronics,2012
204,Conviva Careers,www.conviva.com,"Foster City, CA",201 to 500 employees,Internet,2006
205,UMR Careers,www.umr.com,"Alexandria, VA",1 to 50 employees,Hospital & Health Care,2010
206,Curriculum Associates Careers,www.curriculumassociates.com,"North Billerica, MA","1,001 to 5,000 employees",Newspapers & Publishing,1976
207,Algolux Careers,www.algolux.com,"Montreal, Canada",51 to 200 employees,Computer Software,2014
208,CloudAcademy Careers,cloudacademy.com,"San Francisco, CA",51 to 200 employees,Information Technology & Services,2013
209,SmartPak Equine LLC Careers,www.smartpakequine.com,"Plymouth, MA","501 to 1,000 employees",Retail,1999
210,MyFitnessPal Careers,www.myfitnesspal.com,"San Francisco, CA",51 to 200 employees,Internet,2005
211,SCE Careers,www.sce.com,"Rosemead, CA","10,000+ employees",Utilities,1886
212,Ally Financial Careers,www.ally.com,"Detroit, MI","5,001 to 10,000 employees",Financial Services,1919
213,Autonomous Healthcare Careers,www.autonomoushealthcare.com,"New York, NY",1 to 50 employees,Medical Device,2013
214,Broadridge Careers,www.broadridge.com,"Lake Success, NY","10,000+ employees",Financial Services,2007
215,Mothership Careers,www.mothership.com,"Austin, TX",51 to 200 employees,Logistics & Supply Chain,2017
216,scrumconnect Careers,www.scrumconnect.com,"London, United Kingdom",51 to 200 employees,Computer Software,2011
217,Texas Education Agency Careers,www.tea.texas.gov,"Austin, TX","501 to 1,000 employees",Government Administration,1840
218,STATE Careers,www.statedesign.tv,"Los Angeles, CA",1 to 50 employees,Higher Education,2014
219,BBC Careers,www.bbc.co.uk,None,"10,000+ employees",Broadcast & Online Media,1922
220,VeriSign Careers,www.verisign.com,"Reston, VA","501 to 1,000 employees",Internet,1995
221,ZUME Pizza Careers,zumepizza.com,"Camarillo, California",51 to 200 employees,Food & Beverages,2018
222,NERA Economic Consulting Careers,www.nera.com,"New York, NY","501 to 1,000 employees",Management Consulting,1961
223,Webby Central Careers,www.webbycentral.com,"Walpole, MA",1 to 50 employees,Information Technology & Services,2013
224,First Citizens Bank Careers,www.firstcitizens.com,"Raleigh, NC","5,001 to 10,000 employees",Financial Services,1898
225,Availity Careers,www.availity.com,"Jacksonville, FL","501 to 1,000 employees",Information Technology & Services,2001
226,Oath Careers,www.oath.com,"New York, NY","10,000+ employees",Internet,2006
227,St Kilda Football Club Careers,www.saints.com.au,"Moorabbin, Australia",51 to 200 employees,Retail,1873
228,Appier Careers,www.appier.com,"Taipei, Taiwan",201 to 500 employees,Information Technology & Services,2012
229,Aha! Careers,www.aha.io,"San Francisco, CA",51 to 200 employees,Computer Software,2013
230,advanced.farm Careers,www.advanced.farm,"Davis, CA",1 to 50 employees,Industrial Automation,2018
231,PicoCandy Careers,picocandy.com,"Singapore, Singapore",1 to 50 employees,Internet,2013
232,Viceroy Solutions Careers,www.viceroysolutions.com,"Lenexa, KS",1 to 50 employees,Staffing & Recruiting,2008
233,Compass Group Careers,www.compass-group.com,"Chertsey, England","10,000+ employees",Food & Beverages,1941
234,DrFirst Careers,www.drfirst.com,"Rockville, MD",201 to 500 employees,Hospital & Health Care,2000
235,Excella Careers,www.excella.com,"Arlington, VA",201 to 500 employees,Information Technology & Services,2002
