,categories,change1d,change1y,change_1_day,change_1_year,change_1day,change_1year,code,codice,company_code,country,earnings,employees,id,market_cap,market_capitalization_usd,marketcap,master_cap,name,price,pricecap,rank,revenue,share_price,shareprice,shares,symbol,url
categories,1.0,0.047619047619047616,0.047619047619047616,0.04,0.038461538461538464,0.041666666666666664,0.04,0.058823529411764705,0.05263157894736842,0.04,0.05,0.047619047619047616,0.09523809523809523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0
change1d,0.047619047619047616,1.0,0.5384615384615384,0.3333333333333333,0.3157894736842105,0.35294117647058826,0.3333333333333333,0.06666666666666667,0.058823529411764705,0.043478260869565216,0.05555555555555555,0.0,0.0,0.07692307692307693,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
change1y,0.047619047619047616,0.5384615384615384,1.0,0.4117647058823529,0.3157894736842105,0.4375,0.3333333333333333,0.06666666666666667,0.058823529411764705,0.043478260869565216,0.11764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
change_1_day,0.04,0.3333333333333333,0.4117647058823529,1.0,0.45,0.6875,0.4,0.05263157894736842,0.047619047619047616,0.037037037037037035,0.09523809523809523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
change_1_year,0.038461538461538464,0.3157894736842105,0.3157894736842105,0.45,1.0,0.4,0.7058823529411765,0.05,0.045454545454545456,0.03571428571428571,0.043478260869565216,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
change_1day,0.041666666666666664,0.35294117647058826,0.4375,0.6875,0.4,1.0,0.42105263157894735,0.05555555555555555,0.05,0.038461538461538464,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
change_1year,0.04,0.3333333333333333,0.3333333333333333,0.4,0.7058823529411765,0.42105263157894735,1.0,0.05263157894736842,0.047619047619047616,0.037037037037037035,0.045454545454545456,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
code,0.058823529411764705,0.06666666666666667,0.06666666666666667,0.05263157894736842,0.05,0.05555555555555555,0.05263157894736842,1.0,0.4,0.42857142857142855,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.08333333333333333,0.0,0.0,0.07142857142857142,0.05555555555555555,0.058823529411764705,0.0,0.0,0.0
codice,0.05263157894736842,0.058823529411764705,0.058823529411764705,0.047619047619047616,0.045454545454545456,0.05,0.047619047619047616,0.4,1.0,0.2222222222222222,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.25,0.058823529411764705,0.0,0.0625,0.16666666666666666,0.17647058823529413,0.0,0.0,0.0
company_code,0.04,0.043478260869565216,0.043478260869565216,0.037037037037037035,0.03571428571428571,0.038461538461538464,0.037037037037037035,0.42857142857142855,0.2222222222222222,1.0,0.09523809523809523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.05,0.0,0.0,0.045454545454545456,0.038461538461538464,0.04,0.0,0.0,0.0
country,0.05,0.05555555555555555,0.11764705882352941,0.09523809523809523,0.043478260869565216,0.1,0.045454545454545456,0.15384615384615385,0.13333333333333333,0.09523809523809523,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
earnings,0.047619047619047616,0.0,0.0,0.0,0.041666666666666664,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,1.0,0.10526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0
employees,0.09523809523809523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10526315789473684,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705882352941,0.0,0.0
id,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
market_cap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3448275862068966,0.6428571428571429,0.3333333333333333,0.0,0.0,0.15789473684210525,0.0,0.0,0.0,0.0,0.0,0.0,0.0
market_capitalization_usd,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.3448275862068966,1.0,0.22580645161290322,0.11428571428571428,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.0
marketcap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6428571428571429,0.22580645161290322,1.0,0.2777777777777778,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
master_cap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.11428571428571428,0.2777777777777778,1.0,0.0,0.0,0.15789473684210525,0.0,0.0,0.0,0.0,0.0,0.0,0.0
name,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.07692307692307693,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.08333333333333333,0.0,0.0,0.07142857142857142,0.05555555555555555,0.058823529411764705,0.0,0.0,0.0
price,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.25,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,1.0,0.4166666666666667,0.0,0.06666666666666667,0.3333333333333333,0.35714285714285715,0.0,0.0,0.0
pricecap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.15789473684210525,0.027777777777777776,0.16666666666666666,0.15789473684210525,0.0,0.4166666666666667,1.0,0.0,0.0,0.15,0.15789473684210525,0.0,0.0,0.0
rank,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0
revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0625,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.06666666666666667,0.0,0.07142857142857142,1.0,0.047619047619047616,0.05,0.0,0.0,0.0
share_price,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.16666666666666666,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.3333333333333333,0.15,0.0,0.047619047619047616,1.0,0.6666666666666666,0.3125,0.05,0.0
shareprice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.17647058823529413,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.35714285714285715,0.15789473684210525,0.0,0.05,0.6666666666666666,1.0,0.3333333333333333,0.05263157894736842,0.0
shares,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.11764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3125,0.3333333333333333,1.0,0.06666666666666667,0.0
symbol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05263157894736842,0.06666666666666667,1.0,0.08333333333333333
url,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,1.0
